module,type,name,res_id,src,value,comments
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,"<br/>
                                    Start date:",,
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,"<br/>
                                    duration:",,
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,"<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>",,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Acerca de,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__active,Active,,
academia,model,"ir.actions.act_window,name",academia.launch_session_wizard,Add Attendees,,
academia,model_terms,"ir.ui.view,arch_db",academia.wizard_form_view,Add Attendees,,
academia,model,"ir.model.fields,field_description",academia.field_res_partner__session_ids,Attended Sessions,,
academia,model,"ir.model.fields,field_description",academia.field_res_users__session_ids,Attended Sessions,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__attendee_ids,Attendees,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__attendee_ids,Attendees,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__attendees_count,Attendees count,,
academia,model_terms,"ir.ui.view,arch_db",academia.report_session_view,Attendees:,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__color,Color,,
academia,model,"ir.ui.menu,name",academia.configuration_menu,Configuration,,
academia,model,"ir.model,name",academia.model_res_partner,Contact,,
academia,model,"ir.actions.act_window,name",academia.contact_cat_list_action,Contact Tags,,
academia,model,"ir.ui.menu,name",academia.contact_cat_menu,Contact Tags,,
academia,model,"ir.actions.act_window,name",academia.contact_list_action,Contacts,,
academia,model,"ir.ui.menu,name",academia.contact_menu,Contacts,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__course_id,Course,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Course Form,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_tree_view,Course Tree,,
academia,model,"ir.actions.act_window,name",academia.course_list_action,Courses,,
academia,model,"ir.ui.menu,name",academia.courses_menu,Courses,,
academia,model_terms,"ir.actions.act_window,help",academia.course_list_action,Create the first course,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__create_uid,Created by,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__create_uid,Created by,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__create_uid,Created by,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__create_date,Created on,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__create_date,Created on,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__create_date,Created on,,
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,Delete,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__description,Description,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Description,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__display_name,Display Name,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__display_name,Display Name,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__display_name,Display Name,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__duration,Duration,,
academia,model,"ir.model.fields,help",academia.field_openacademy_session__duration,Duration in days,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,ESTO ES PRUEBA DE UNA PAGINA EN LA VISTA GENERICA DE CURSOS,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,ESTO ES UNA PAGINA INFORMATIVA,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__end_date,End Date,,
academia,model_terms,"ir.ui.view,arch_db",academia.report_session_view,From,,
academia,model_terms,"ir.ui.view,arch_db",academia.session_form_view,General,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_search_view,Group By,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__id,ID,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__id,ID,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__id,ID,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,INFORMA,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,INFORMACION,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__instructor_id,Instructor,,
academia,model,"ir.model.fields,field_description",academia.field_res_partner__instructor,Instructor,,
academia,model,"ir.model.fields,field_description",academia.field_res_users__instructor,Instructor,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course____last_update,Last Modified on,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session____last_update,Last Modified on,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard____last_update,Last Modified on,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__write_uid,Last Updated by,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__write_uid,Last Updated by,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__write_uid,Last Updated by,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__write_date,Last Updated on,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__write_date,Last Updated on,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__write_date,Last Updated on,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_search_view,My Courses,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__name,Name,,
academia,model,"ir.ui.menu,name",academia.main_openacademy_menu,Open Academy,,
academia,model,"ir.ui.menu,name",academia.openacademy_menu,Open Academy,,
academia,model,"res.groups,name",academia.group_manager,OpenAcademy / Manager,,
academia,model,"ir.model,name",academia.model_openacademy_course,OpenAcademy Courses,,
academia,model,"ir.model,name",academia.model_openacademy_session,OpenAcademy_Session,,
academia,model_terms,"ir.ui.view,arch_db",academia.openacademy_session_graph_view,Participations by Courses,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Registered sessions,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__responsible_id,Responsible,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_search_view,Responsible,,
academia,model_terms,"ir.ui.view,arch_db",academia.session_form_view,Schedule,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__seats,Seats,,
academia,model_terms,"ir.ui.view,arch_db",academia.session_form_view,Session Form,,
academia,model_terms,"ir.ui.view,arch_db",academia.session_gantt_view,Session Gantt,,
academia,model,"ir.actions.report,name",academia.report_session,Session Report,,
academia,model_terms,"ir.ui.view,arch_db",academia.session_tree_view,Session Tree,,
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,Session name:,,
academia,model,"ir.actions.act_window,name",academia.session_list_action,Sessions,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__session_ids,Sessions,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__session_ids,Sessions,,
academia,model,"ir.ui.menu,name",academia.session_menu,Sessions,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Sessions,,
academia,model_terms,"ir.ui.view,arch_db",academia.partner_instructor_form_view,Sessions,,
