module,type,name,res_id,src,value,comments
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,"<br/>
                                    Start date:","<br/>
                                    Start date:",
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,"<br/>
                                    duration:","<br/>
                                    duration:",
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,"<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>","<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>",
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Acerca de,Acerca de,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__active,Active,Active,
academia,model,"ir.actions.act_window,name",academia.launch_session_wizard,Add Attendees,Add Attendees,
academia,model_terms,"ir.ui.view,arch_db",academia.wizard_form_view,Add Attendees,Add Attendees,
academia,model,"ir.model.fields,field_description",academia.field_res_partner__session_ids,Attended Sessions,Attended Sessions,
academia,model,"ir.model.fields,field_description",academia.field_res_users__session_ids,Attended Sessions,Attended Sessions,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__attendee_ids,Attendees,Attendees,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__attendee_ids,Attendees,Attendees,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__attendees_count,Attendees count,Attendees count,
academia,model_terms,"ir.ui.view,arch_db",academia.report_session_view,Attendees:,Attendees:,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__color,Color,Color,
academia,model,"ir.ui.menu,name",academia.configuration_menu,Configuration,Configuration,
academia,model,"ir.model,name",academia.model_res_partner,Contact,Contact,
academia,model,"ir.actions.act_window,name",academia.contact_cat_list_action,Contact Tags,Contact Tags,
academia,model,"ir.ui.menu,name",academia.contact_cat_menu,Contact Tags,Contact Tags,
academia,model,"ir.actions.act_window,name",academia.contact_list_action,Contacts,Contacts,
academia,model,"ir.ui.menu,name",academia.contact_menu,Contacts,Contacts,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__course_id,Course,Course,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Course Form,Course Form,
academia,model_terms,"ir.ui.view,arch_db",academia.course_tree_view,Course Tree,Course Tree,
academia,model,"ir.actions.act_window,name",academia.course_list_action,Courses,Courses,
academia,model,"ir.ui.menu,name",academia.courses_menu,Courses,Courses,
academia,model_terms,"ir.actions.act_window,help",academia.course_list_action,Create the first course,Create the first course,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__create_uid,Created by,Created by,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__create_uid,Created by,Created by,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__create_uid,Created by,Created by,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__create_date,Created on,Created on,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__create_date,Created on,Created on,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__create_date,Created on,Created on,
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,Delete,Delete,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__description,Description,Description,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Description,Description,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__display_name,Display Name,Display Name,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__display_name,Display Name,Display Name,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__display_name,Display Name,Display Name,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__duration,Duration,Duration,
academia,model,"ir.model.fields,help",academia.field_openacademy_session__duration,Duration in days,Duration in days,
